User: Eduardo	Fiber: 17/07/26-09h23-Eduardo	Date: sexta-feira, 17 de julho de 2026, 12:06


Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[um],[um],[um]
163.060112,0.698540,0.508966,122.990377,-0.132047,1.043052,323.000000,315.000000,319.000000
163.073417,0.673041,0.524253,123.194378,-0.132047,0.635144,692.000000,0.000000,0.000000
163.086719,0.749539,0.503870,122.786377,0.020926,0.635144,532.000000,587.000000,548.000000
163.100103,0.673041,0.524253,123.143377,-0.132047,0.533167,393.000000,422.000000,405.000000
163.113402,0.673041,0.514062,122.837377,-0.055561,0.329213,313.000000,328.000000,320.000000
163.126751,0.698540,0.519158,122.837377,0.020926,0.533167,288.000000,290.000000,290.000000
163.140118,0.775039,0.493678,122.837377,0.173899,0.431190,278.000000,279.000000,280.000000
163.153438,0.698540,0.514062,122.888377,-0.055561,0.635144,268.000000,269.000000,270.000000
163.166736,0.749539,0.498774,122.735377,0.020926,0.431190,263.000000,263.000000,264.000000
163.180084,0.724040,0.514062,122.837377,0.173899,0.431190,260.000000,260.000000,261.000000
163.193433,0.647541,0.519158,122.837377,-0.361507,0.737121,259.000000,259.000000,259.000000
163.206739,0.673041,0.514062,122.837377,-0.055561,0.533167,262.000000,261.000000,261.000000
163.220087,0.775039,0.503870,122.684377,0.173899,0.635144,268.000000,267.000000,267.000000
163.233410,0.698540,0.514062,122.837377,-0.285021,0.737121,282.000000,278.000000,278.000000
163.246751,0.775039,0.493678,122.735377,0.020926,0.533167,301.000000,299.000000,295.000000
163.260102,0.749539,0.498774,122.888377,0.250386,0.329213,363.000000,346.000000,350.000000
163.273420,0.724040,0.514062,122.837377,-0.208534,0.533167,508.000000,462.000000,478.000000
163.286741,0.673041,0.514062,122.888377,0.020926,0.533167,634.000000,623.000000,630.000000
163.300103,0.724040,0.524253,122.837377,-0.208534,0.635144,545.000000,582.000000,562.000000
163.313443,0.698540,0.519158,122.837377,0.097413,0.533167,413.000000,439.000000,431.000000
163.326738,0.647541,0.534445,122.837377,-0.208534,1.043052,306.000000,317.000000,308.000000
163.340072,0.647541,0.524253,122.888377,-0.208534,0.737121,265.000000,265.000000,268.000000
163.353411,0.647541,0.529349,122.837377,-0.132047,0.635144,253.000000,255.000000,257.000000
163.366736,0.724040,0.519158,122.786377,-0.132047,0.839098,243.000000,241.000000,246.000000
