User: Eduardo	Fiber: 17/07/26-09h23-Eduardo	Date: sexta-feira, 17 de julho de 2026, 12:18


Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[um],[um],[um]
175.069580,0.698540,0.503870,120.032373,0.097413,0.227236,419.000000,417.000000,420.000000
175.083168,0.800539,0.508966,119.930373,0.173899,0.329213,422.000000,422.000000,423.000000
175.096669,0.698540,0.519158,120.032373,-0.132047,0.839098,421.000000,420.000000,424.000000
175.110235,0.724040,0.514062,119.930373,-0.208534,0.839098,411.000000,408.000000,420.000000
175.123737,0.724040,0.514062,120.032373,-0.132047,0.329213,396.000000,394.000000,404.000000
175.137136,0.724040,0.508966,120.083373,-0.208534,0.839098,391.000000,387.000000,396.000000
175.150445,0.698540,0.514062,120.134373,-0.055561,1.043052,398.000000,392.000000,399.000000
175.163964,0.724040,0.519158,120.134373,-0.132047,0.737121,412.000000,405.000000,412.000000
175.177449,0.724040,0.524253,120.134373,-0.132047,0.737121,420.000000,415.000000,422.000000
175.190889,0.698540,0.519158,120.185373,-0.132047,0.533167,416.000000,417.000000,418.000000
175.204503,0.698540,0.514062,120.236373,-0.055561,0.533167,404.000000,406.000000,407.000000
175.217929,0.698540,0.514062,120.236373,-0.132047,0.533167,386.000000,390.000000,389.000000
175.231218,0.724040,0.514062,120.338373,-0.132047,0.737121,367.000000,372.000000,372.000000
175.244805,0.775039,0.498774,120.185373,0.097413,0.431190,358.000000,359.000000,359.000000
175.258237,0.647541,0.529349,120.389373,-0.208534,0.635144,357.000000,353.000000,358.000000
175.271787,0.647541,0.519158,120.185373,-0.208534,0.941075,368.000000,362.000000,370.000000
175.285225,0.698540,0.508966,120.287373,0.173899,0.329213,381.000000,372.000000,384.000000
175.299376,0.724040,0.519158,120.338373,-0.285021,0.941075,383.000000,375.000000,391.000000
175.313452,0.698540,0.524253,120.338373,-0.208534,0.941075,383.000000,375.000000,390.000000
175.326904,0.698540,0.514062,120.338373,0.250386,0.431190,391.000000,383.000000,394.000000
175.340552,0.749539,0.498774,120.338373,0.020926,0.533167,403.000000,397.000000,404.000000
175.353948,0.749539,0.514062,120.491374,0.020926,0.635144,414.000000,410.000000,416.000000
175.367403,0.749539,0.503870,120.287373,-0.132047,0.533167,421.000000,417.000000,425.000000
175.380877,0.698540,0.514062,120.389373,-0.055561,0.737121,419.000000,417.000000,423.000000
175.394461,0.775039,0.498774,120.440373,0.173899,0.533167,411.000000,412.000000,415.000000
175.407972,0.775039,0.498774,120.491374,0.097413,0.329213,398.000000,400.000000,402.000000
175.421475,0.673041,0.524253,120.695374,-0.208534,0.533167,384.000000,385.000000,391.000000
175.434867,0.698540,0.514062,120.542374,-0.055561,0.635144,366.000000,367.000000,373.000000
175.448319,0.698540,0.508966,120.593374,-0.055561,1.043052,355.000000,352.000000,362.000000
175.461935,0.673041,0.524253,120.542374,-0.361507,0.839098,346.000000,338.000000,353.000000
175.475330,0.647541,0.524253,120.797374,-0.208534,0.839098,340.000000,334.000000,347.000000
175.488800,0.698540,0.514062,120.695374,-0.055561,0.329213,338.000000,332.000000,346.000000
175.502287,0.775039,0.503870,120.644374,0.173899,0.431190,345.000000,335.000000,350.000000
175.515712,0.698540,0.519158,120.644374,0.020926,0.533167,352.000000,343.000000,359.000000
175.529127,0.698540,0.514062,120.593374,0.097413,0.635144,362.000000,352.000000,366.000000
175.542662,0.698540,0.508966,120.797374,-0.055561,0.737121,373.000000,365.000000,376.000000
175.556124,0.698540,0.519158,120.644374,0.173899,0.329213,385.000000,376.000000,389.000000
175.569551,0.724040,0.519158,120.644374,0.173899,0.431190,395.000000,388.000000,399.000000
175.583375,0.673041,0.534445,120.746374,-0.208534,1.043052,387.000000,397.000000,396.000000
175.597015,0.647541,0.524253,120.746374,-0.132047,0.635144,369.000000,373.000000,375.000000
175.610682,0.749539,0.508966,120.644374,-0.055561,0.737121,375.000000,376.000000,392.000000
175.624179,0.698540,0.514062,120.746374,0.097413,0.431190,311.000000,323.000000,331.000000
175.637666,0.647541,0.529349,120.593374,-0.208534,1.043052,278.000000,258.000000,278.000000
175.651374,0.749539,0.514062,120.644374,0.020926,0.329213,290.000000,254.000000,299.000000
175.665165,0.724040,0.514062,120.593374,-0.055561,0.635144,360.000000,366.000000,375.000000
175.678692,0.749539,0.503870,120.491374,-0.055561,0.737121,319.000000,313.000000,329.000000
175.692247,0.647541,0.524253,120.746374,-0.208534,1.043052,303.000000,305.000000,320.000000
175.705914,0.698540,0.508966,120.644374,-0.208534,0.635144,314.000000,304.000000,326.000000
175.719717,0.749539,0.508966,120.797374,-0.132047,0.533167,348.000000,337.000000,360.000000
175.733085,0.698540,0.508966,120.695374,0.020926,0.737121,292.000000,299.000000,292.000000
175.746469,0.698540,0.524253,120.746374,-0.285021,0.941075,211.000000,232.000000,233.000000
175.759961,0.647541,0.519158,120.746374,-0.132047,0.941075,329.000000,323.000000,336.000000
175.773437,0.622041,0.519158,120.848374,-0.285021,0.941075,331.000000,326.000000,341.000000
175.786913,0.647541,0.529349,120.746374,-0.361507,0.635144,339.000000,330.000000,342.000000
175.800640,0.724040,0.503870,120.746374,0.097413,0.533167,351.000000,343.000000,354.000000
175.814003,0.673041,0.508966,120.746374,-0.437994,0.839098,350.000000,346.000000,361.000000
