User: Eduardo	Fiber: 30/07/26-10h27-Eduardo	Date: quinta-feira, 30 de julho de 2026, 13:07


Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[um],[um],[um]
160.026706,0.392545,0.514062,120.134373,0.097413,0.635144,353.000000,350.000000,345.000000
160.039962,0.443544,0.503870,120.134373,0.173899,0.839098,411.000000,397.000000,398.000000
160.053285,0.443544,0.514062,120.185373,0.020926,1.145029,515.000000,482.000000,500.000000
160.066672,0.418045,0.519158,120.287373,-0.132047,0.839098,564.000000,567.000000,557.000000
160.079997,0.443544,0.503870,120.134373,0.173899,0.941075,567.000000,578.000000,562.000000
160.093316,0.469044,0.498774,120.134373,0.020926,1.043052,532.000000,557.000000,533.000000
160.106627,0.418045,0.529349,120.236373,-0.361507,1.043052,452.000000,481.000000,451.000000
160.119967,0.469044,0.498774,120.338373,0.097413,0.737121,385.000000,406.000000,383.000000
160.133297,0.469044,0.508966,120.083373,0.097413,0.839098,349.000000,360.000000,345.000000
160.146641,0.443544,0.514062,120.236373,-0.132047,1.043052,343.000000,349.000000,337.000000
160.159968,0.443544,0.493678,120.134373,0.173899,1.043052,343.000000,348.000000,338.000000
160.173300,0.392545,0.514062,120.236373,0.020926,0.839098,344.000000,348.000000,339.000000
160.186616,0.367046,0.524253,120.287373,-0.285021,1.043052,348.000000,354.000000,346.000000
160.199983,0.469044,0.493678,120.134373,0.097413,0.227236,350.000000,352.000000,346.000000
160.213313,0.418045,0.534445,120.185373,-0.285021,0.635144,365.000000,361.000000,359.000000
160.226638,0.392545,0.514062,120.287373,0.173899,0.125259,410.000000,396.000000,398.000000
160.239970,0.341546,0.524253,120.389373,-0.208534,0.227236,487.000000,468.000000,478.000000
160.253307,0.392545,0.539541,120.083373,-0.208534,0.635144,549.000000,537.000000,541.000000
160.266644,0.367046,0.519158,120.134373,-0.285021,0.635144,566.000000,574.000000,565.000000
160.279973,0.341546,0.524253,120.134373,-0.208534,0.635144,524.000000,543.000000,523.000000
160.293302,0.418045,0.514062,120.083373,0.020926,0.839098,495.000000,506.000000,491.000000
160.306634,0.341546,0.519158,120.287373,-0.285021,0.635144,461.000000,495.000000,463.000000
160.319956,0.418045,0.514062,120.083373,-0.055561,0.329213,407.000000,436.000000,406.000000
160.333303,0.494544,0.488582,120.032373,0.097413,0.125259,373.000000,393.000000,370.000000
160.346662,0.443544,0.514062,120.032373,0.020926,0.329213,355.000000,363.000000,349.000000
160.359988,0.341546,0.514062,120.236373,-0.055561,1.247006,355.000000,361.000000,347.000000
160.373296,0.341546,0.524253,120.338373,-0.055561,1.348983,389.000000,381.000000,375.000000
160.386633,0.392545,0.514062,120.083373,-0.055561,0.737121,460.000000,447.000000,437.000000
160.399966,0.443544,0.503870,119.981373,0.173899,0.125259,482.000000,491.000000,470.000000
160.413316,0.392545,0.514062,120.134373,0.097413,0.635144,491.000000,503.000000,479.000000
160.426656,0.341546,0.524253,120.338373,-0.132047,1.043052,520.000000,518.000000,505.000000
160.439969,0.367046,0.514062,119.981373,-0.132047,0.839098,581.000000,571.000000,561.000000
160.453246,0.418045,0.508966,120.134373,-0.132047,1.145029,555.000000,569.000000,552.000000
160.466602,0.494544,0.503870,120.083373,0.173899,1.043052,509.000000,528.000000,510.000000
160.479945,0.392545,0.514062,120.134373,-0.055561,1.145029,469.000000,479.000000,467.000000
160.493235,0.418045,0.508966,120.134373,-0.055561,0.737121,484.000000,481.000000,479.000000
160.506575,0.418045,0.514062,120.134373,0.020926,0.839098,508.000000,506.000000,502.000000
160.519911,0.367046,0.514062,120.134373,-0.055561,0.941075,532.000000,535.000000,527.000000
160.533280,0.316046,0.534445,120.236373,-0.208534,1.552937,549.000000,549.000000,539.000000
160.546579,0.443544,0.503870,120.134373,0.173899,0.941075,556.000000,566.000000,551.000000
160.559928,0.392545,0.514062,120.134373,-0.132047,0.533167,503.000000,530.000000,503.000000
160.573249,0.367046,0.514062,120.287373,-0.132047,0.635144,423.000000,456.000000,427.000000
160.586596,0.367046,0.519158,120.185373,-0.132047,1.043052,343.000000,364.000000,341.000000
160.599929,0.341546,0.529349,120.236373,-0.132047,1.348983,323.000000,332.000000,317.000000
160.613300,0.418045,0.514062,120.032373,0.173899,0.941075,315.000000,323.000000,309.000000
160.626611,0.418045,0.508966,119.828373,-0.132047,0.839098,308.000000,316.000000,302.000000
160.639965,0.392545,0.514062,119.828373,-0.285021,1.450960,304.000000,312.000000,298.000000
160.653277,0.341546,0.529349,119.879373,-0.208534,0.533167,299.000000,307.000000,292.000000
160.666615,0.341546,0.529349,119.879373,-0.055561,1.043052,295.000000,303.000000,289.000000
160.679914,0.443544,0.498774,119.624372,0.173899,1.450960,291.000000,299.000000,285.000000
160.693247,0.418045,0.508966,119.726372,-0.055561,1.145029,290.000000,296.000000,283.000000
160.706566,0.418045,0.498774,119.624372,0.173899,1.043052,290.000000,296.000000,283.000000
160.719948,0.367046,0.529349,119.930373,-0.208534,1.043052,294.000000,298.000000,287.000000
160.733280,0.418045,0.514062,119.726372,-0.055561,0.329213,298.000000,304.000000,292.000000
160.746592,0.392545,0.508966,119.777373,-0.132047,0.839098,303.000000,307.000000,296.000000
160.759946,0.367046,0.514062,119.726372,0.020926,1.450960,306.000000,311.000000,301.000000
160.773245,0.392545,0.514062,119.726372,-0.132047,0.635144,310.000000,314.000000,303.000000
160.786611,0.341546,0.524253,119.828373,-0.132047,1.145029,312.000000,317.000000,306.000000
160.799901,0.392545,0.514062,119.624372,-0.132047,1.348983,314.000000,319.000000,308.000000
160.813310,0.418045,0.514062,119.624372,-0.208534,0.635144,316.000000,321.000000,311.000000
160.826579,0.341546,0.519158,119.828373,-0.132047,0.839098,319.000000,322.000000,315.000000
160.839927,0.443544,0.514062,119.522372,-0.132047,1.043052,322.000000,325.000000,318.000000
160.853244,0.392545,0.514062,119.675372,0.173899,0.533167,328.000000,330.000000,323.000000
160.866578,0.418045,0.514062,119.624372,-0.132047,0.533167,342.000000,340.000000,335.000000
160.879960,0.469044,0.503870,119.624372,0.173899,0.635144,374.000000,368.000000,363.000000
160.893262,0.316046,0.514062,119.828373,-0.132047,1.043052,436.000000,425.000000,424.000000
160.906569,0.443544,0.514062,119.624372,-0.055561,0.635144,456.000000,458.000000,445.000000
160.919966,0.443544,0.508966,119.624372,-0.208534,0.329213,479.000000,481.000000,470.000000
160.933279,0.316046,0.524253,119.777373,-0.055561,1.043052,481.000000,493.000000,479.000000
160.946572,0.392545,0.508966,119.573372,-0.055561,1.247006,453.000000,466.000000,452.000000
160.959956,0.443544,0.498774,119.624372,0.097413,0.023282,453.000000,454.000000,444.000000
160.973245,0.341546,0.524253,119.828373,-0.285021,1.247006,447.000000,462.000000,446.000000
160.986629,0.443544,0.514062,119.624372,-0.055561,1.348983,384.000000,406.000000,386.000000
160.999930,0.469044,0.498774,119.726372,0.097413,0.635144,333.000000,345.000000,332.000000
161.013265,0.341546,0.524253,119.828373,-0.208534,0.839098,323.000000,329.000000,320.000000
161.026572,0.443544,0.514062,119.522372,-0.132047,1.043052,318.000000,322.000000,315.000000
161.039946,0.367046,0.519158,119.828373,-0.361507,1.145029,314.000000,318.000000,311.000000
161.053246,0.418045,0.524253,119.675372,-0.132047,1.247006,316.000000,317.000000,314.000000
161.066594,0.392545,0.493678,119.624372,0.173899,0.941075,327.000000,325.000000,324.000000
161.079914,0.392545,0.514062,119.675372,-0.055561,1.247006,366.000000,346.000000,354.000000
161.093260,0.443544,0.498774,119.573372,-0.132047,1.348983,449.000000,446.000000,445.000000
161.106593,0.418045,0.508966,119.675372,-0.132047,0.941075,493.000000,482.000000,485.000000
161.119912,0.469044,0.503870,119.522372,0.020926,1.247006,553.000000,543.000000,541.000000
161.133260,0.341546,0.519158,119.777373,-0.132047,1.348983,566.000000,572.000000,560.000000
161.146570,0.443544,0.498774,119.624372,0.097413,0.533167,558.000000,565.000000,550.000000
161.159930,0.392545,0.508966,119.624372,-0.132047,0.941075,536.000000,553.000000,534.000000
161.173277,0.494544,0.498774,119.522372,0.097413,0.839098,485.000000,505.000000,484.000000
161.186579,0.392545,0.514062,119.624372,-0.361507,0.737121,418.000000,444.000000,419.000000
161.199907,0.418045,0.514062,119.624372,-0.361507,1.348983,337.000000,367.000000,340.000000
161.213278,0.469044,0.503870,119.573372,0.020926,0.533167,317.000000,324.000000,312.000000
161.226552,0.443544,0.493678,119.522372,0.097413,0.533167,310.000000,317.000000,306.000000
161.239926,0.341546,0.519158,119.726372,-0.208534,1.450960,300.000000,308.000000,297.000000
161.253278,0.418045,0.508966,119.726372,-0.132047,1.247006,294.000000,299.000000,290.000000
161.266595,0.418045,0.514062,119.573372,-0.132047,1.145029,291.000000,296.000000,287.000000
161.279949,0.392545,0.514062,119.777373,-0.055561,0.737121,291.000000,295.000000,286.000000
161.293239,0.418045,0.498774,119.675372,0.020926,0.941075,291.000000,295.000000,286.000000
161.306595,0.494544,0.498774,119.471372,0.097413,0.839098,292.000000,296.000000,288.000000
161.319965,0.392545,0.524253,119.777373,-0.285021,0.431190,296.000000,299.000000,290.000000
161.333266,0.443544,0.514062,119.624372,-0.285021,1.247006,302.000000,304.000000,297.000000
161.346595,0.392545,0.519158,119.777373,-0.361507,1.552937,308.000000,309.000000,303.000000
161.359961,0.392545,0.514062,119.624372,-0.208534,1.043052,310.000000,315.000000,307.000000
161.373247,0.392545,0.519158,119.624372,-0.055561,1.348983,316.000000,319.000000,310.000000
161.386607,0.341546,0.514062,119.777373,-0.132047,0.737121,322.000000,325.000000,316.000000
161.399900,0.392545,0.514062,119.573372,-0.055561,1.043052,328.000000,331.000000,322.000000
161.413282,0.392545,0.508966,119.522372,-0.055561,0.737121,334.000000,337.000000,328.000000
161.426611,0.418045,0.508966,119.573372,-0.055561,0.737121,345.000000,347.000000,337.000000
161.439927,0.367046,0.524253,119.675372,-0.132047,0.533167,384.000000,376.000000,371.000000
161.453242,0.443544,0.503870,119.420372,0.173899,1.043052,414.000000,418.000000,405.000000
161.466631,0.443544,0.503870,119.420372,-0.055561,1.145029,408.000000,421.000000,403.000000
