User: Eduardo	Fiber: 30/07/26-10h27-Eduardo	Date: quinta-feira, 30 de julho de 2026, 13:15


Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[um],[um],[um]
168.147000,0.367046,0.524253,120.236373,-0.361507,2.164799,357.000000,361.000000,357.000000
168.160212,0.392545,0.519158,120.032373,-0.055561,1.960845,359.000000,360.000000,357.000000
168.173559,0.443544,0.503870,119.879373,-0.055561,1.348983,362.000000,363.000000,360.000000
168.186779,0.443544,0.508966,120.032373,-0.285021,1.858868,364.000000,365.000000,362.000000
168.200029,0.469044,0.514062,119.981373,-0.132047,1.756891,364.000000,366.000000,363.000000
168.213376,0.392545,0.514062,120.134373,-0.208534,1.960845,364.000000,365.000000,362.000000
168.226708,0.341546,0.529349,120.236373,-0.285021,2.164799,370.000000,369.000000,367.000000
168.240043,0.341546,0.519158,120.236373,-0.285021,1.756891,375.000000,376.000000,373.000000
168.253372,0.469044,0.498774,120.134373,0.097413,1.756891,377.000000,379.000000,374.000000
168.266710,0.418045,0.519158,120.236373,-0.361507,1.858868,377.000000,381.000000,374.000000
168.280043,0.443544,0.498774,120.083373,0.173899,1.858868,361.000000,370.000000,359.000000
168.293376,0.469044,0.503870,120.032373,0.020926,1.654914,346.000000,353.000000,342.000000
168.306690,0.392545,0.508966,120.185373,-0.055561,1.654914,338.000000,345.000000,333.000000
168.320047,0.418045,0.508966,120.134373,-0.132047,1.858868,332.000000,339.000000,327.000000
168.333391,0.443544,0.508966,120.440373,-0.132047,2.062822,327.000000,334.000000,322.000000
168.346704,0.418045,0.514062,120.389373,-0.132047,1.654914,324.000000,329.000000,318.000000
168.360040,0.341546,0.529349,120.440373,0.020926,1.654914,320.000000,326.000000,316.000000
168.373368,0.418045,0.514062,120.491374,-0.132047,1.756891,318.000000,323.000000,313.000000
168.386784,0.367046,0.529349,120.491374,-0.285021,1.756891,316.000000,321.000000,312.000000
168.400059,0.418045,0.514062,120.338373,0.173899,2.470731,315.000000,319.000000,311.000000
168.413378,0.494544,0.498774,120.185373,-0.055561,1.960845,314.000000,317.000000,311.000000
168.426708,0.392545,0.514062,120.389373,0.097413,1.654914,312.000000,316.000000,310.000000
168.440029,0.367046,0.529349,120.338373,-0.361507,2.266777,312.000000,314.000000,309.000000
168.453367,0.341546,0.519158,120.389373,-0.285021,1.756891,313.000000,314.000000,310.000000
168.466709,0.443544,0.503870,120.287373,-0.055561,1.756891,314.000000,317.000000,312.000000
168.480034,0.443544,0.514062,120.389373,-0.208534,2.062822,318.000000,319.000000,314.000000
168.493379,0.392545,0.508966,120.338373,0.020926,1.858868,322.000000,323.000000,318.000000
168.506710,0.469044,0.519158,120.236373,0.020926,1.654914,327.000000,328.000000,324.000000
168.520042,0.341546,0.524253,120.440373,-0.208534,2.062822,335.000000,335.000000,332.000000
168.533366,0.418045,0.508966,120.338373,-0.132047,1.960845,342.000000,343.000000,340.000000
168.546705,0.341546,0.519158,120.440373,-0.055561,1.348983,349.000000,349.000000,348.000000
168.560043,0.443544,0.493678,120.440373,0.097413,1.552937,356.000000,356.000000,353.000000
168.573375,0.367046,0.529349,120.440373,-0.361507,2.062822,364.000000,365.000000,359.000000
168.586700,0.341546,0.529349,120.389373,-0.208534,2.062822,370.000000,372.000000,366.000000
168.600076,0.418045,0.514062,120.440373,-0.208534,2.062822,374.000000,375.000000,370.000000
168.613376,0.418045,0.519158,120.440373,-0.055561,1.654914,377.000000,379.000000,375.000000
168.626699,0.418045,0.514062,120.491374,-0.055561,1.858868,380.000000,379.000000,379.000000
168.640061,0.392545,0.519158,120.389373,0.020926,1.450960,378.000000,379.000000,377.000000
168.653371,0.392545,0.519158,120.236373,0.020926,1.858868,378.000000,379.000000,378.000000
168.666710,0.341546,0.524253,120.389373,-0.132047,1.960845,378.000000,377.000000,379.000000
168.680033,0.469044,0.498774,120.032373,0.097413,2.470731,373.000000,374.000000,374.000000
168.693376,0.418045,0.508966,120.236373,-0.285021,1.552937,367.000000,371.000000,365.000000
168.706710,0.418045,0.514062,120.134373,-0.132047,2.266777,362.000000,364.000000,361.000000
168.720079,0.367046,0.519158,120.083373,0.097413,2.368754,358.000000,360.000000,357.000000
168.733446,0.341546,0.524253,120.236373,-0.285021,2.368754,356.000000,358.000000,354.000000
168.746778,0.341546,0.519158,120.236373,-0.361507,1.654914,357.000000,359.000000,354.000000
168.760073,0.367046,0.519158,120.389373,-0.208534,2.266777,357.000000,361.000000,354.000000
168.773410,0.392545,0.514062,120.287373,-0.132047,2.266777,359.000000,362.000000,354.000000
168.786764,0.341546,0.529349,120.440373,-0.132047,2.266777,361.000000,364.000000,357.000000
168.800095,0.418045,0.514062,120.338373,0.097413,1.654914,364.000000,367.000000,359.000000
168.813411,0.392545,0.519158,120.338373,0.250386,2.062822,367.000000,369.000000,364.000000
168.826746,0.469044,0.519158,120.287373,-0.055561,1.654914,366.000000,369.000000,366.000000
168.840043,0.418045,0.508966,120.389373,-0.055561,1.858868,365.000000,366.000000,366.000000
168.853412,0.418045,0.514062,120.185373,-0.055561,1.858868,361.000000,363.000000,361.000000
168.866783,0.418045,0.519158,120.389373,-0.055561,2.062822,360.000000,362.000000,360.000000
168.880129,0.392545,0.519158,120.338373,-0.055561,1.858868,359.000000,358.000000,359.000000
168.893407,0.443544,0.514062,120.440373,-0.055561,2.368754,356.000000,356.000000,358.000000
168.906778,0.418045,0.508966,120.338373,0.020926,1.756891,354.000000,354.000000,355.000000
168.920075,0.367046,0.514062,120.440373,-0.055561,1.858868,351.000000,350.000000,353.000000
168.933432,0.443544,0.498774,120.185373,-0.132047,1.756891,346.000000,346.000000,348.000000
168.946742,0.341546,0.524253,120.338373,-0.055561,1.858868,340.000000,342.000000,342.000000
168.960114,0.392545,0.519158,120.083373,-0.132047,1.756891,335.000000,335.000000,337.000000
168.973439,0.316046,0.524253,120.287373,-0.285021,1.960845,329.000000,329.000000,330.000000
168.986780,0.392545,0.519158,120.134373,-0.132047,1.450960,325.000000,325.000000,326.000000
169.000112,0.392545,0.514062,120.083373,-0.055561,1.960845,322.000000,321.000000,322.000000
169.013400,0.392545,0.514062,120.032373,-0.132047,1.247006,324.000000,322.000000,324.000000
169.026716,0.341546,0.529349,120.032373,0.020926,1.552937,326.000000,326.000000,326.000000
169.040129,0.443544,0.498774,119.981373,0.020926,1.450960,329.000000,329.000000,329.000000
169.053432,0.418045,0.508966,120.032373,-0.132047,1.858868,331.000000,331.000000,331.000000
169.066745,0.469044,0.493678,120.134373,0.173899,1.552937,334.000000,334.000000,332.000000
169.080112,0.443544,0.493678,120.032373,0.097413,2.062822,337.000000,339.000000,334.000000
169.093445,0.392545,0.514062,120.032373,-0.132047,1.654914,340.000000,342.000000,337.000000
169.106760,0.392545,0.514062,120.134373,0.097413,2.470731,343.000000,345.000000,341.000000
169.120080,0.341546,0.534445,120.236373,-0.285021,1.654914,344.000000,344.000000,342.000000
169.133405,0.443544,0.498774,120.032373,-0.132047,1.450960,346.000000,347.000000,343.000000
169.146747,0.418045,0.514062,120.185373,0.020926,1.756891,348.000000,349.000000,346.000000
169.160112,0.469044,0.498774,119.981373,0.173899,1.858868,354.000000,354.000000,352.000000
169.173425,0.418045,0.514062,120.134373,-0.285021,1.858868,360.000000,358.000000,359.000000
169.186761,0.341546,0.529349,120.236373,-0.285021,1.960845,367.000000,365.000000,366.000000
169.200114,0.418045,0.508966,120.338373,-0.055561,2.062822,371.000000,372.000000,368.000000
169.213431,0.418045,0.514062,120.236373,-0.055561,1.756891,375.000000,376.000000,370.000000
169.226763,0.418045,0.508966,120.338373,-0.361507,2.164799,378.000000,380.000000,373.000000
169.240115,0.443544,0.514062,120.134373,-0.132047,2.062822,377.000000,384.000000,372.000000
169.253416,0.367046,0.519158,120.134373,0.173899,1.654914,371.000000,379.000000,364.000000
169.266775,0.392545,0.524253,120.185373,-0.285021,2.164799,485.000000,473.000000,476.000000
169.280124,0.367046,0.519158,120.338373,-0.132047,1.552937,371.000000,380.000000,369.000000
169.293446,0.494544,0.493678,120.032373,0.020926,1.960845,359.000000,366.000000,363.000000
169.306779,0.418045,0.519158,120.134373,-0.285021,2.164799,344.000000,349.000000,344.000000
169.320117,0.316046,0.529349,120.287373,-0.208534,1.552937,337.000000,341.000000,337.000000
169.333459,0.418045,0.514062,120.287373,-0.132047,1.858868,325.000000,330.000000,325.000000
169.346788,0.443544,0.503870,120.083373,0.020926,1.858868,312.000000,316.000000,312.000000
169.360115,0.392545,0.519158,120.236373,0.020926,1.858868,307.000000,309.000000,306.000000
169.373427,0.443544,0.498774,119.981373,-0.055561,1.756891,306.000000,307.000000,304.000000
169.386800,0.469044,0.508966,119.981373,0.173899,1.552937,307.000000,308.000000,306.000000
169.400106,0.469044,0.498774,119.981373,0.020926,1.348983,309.000000,310.000000,308.000000
169.413447,0.418045,0.524253,120.032373,-0.208534,2.470731,312.000000,313.000000,310.000000
169.426782,0.341546,0.519158,120.185373,-0.132047,2.266777,312.000000,314.000000,310.000000
169.440098,0.443544,0.514062,119.981373,-0.132047,1.756891,315.000000,316.000000,312.000000
