User: Eduardo	Fiber: 30/07/26-10h27-Eduardo	Date: quinta-feira, 30 de julho de 2026, 13:24


Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[um],[um],[um]
176.513233,0.341546,0.508966,120.236373,-0.132047,2.674685,298.000000,298.000000,298.000000
176.526807,0.392545,0.514062,120.134373,-0.055561,2.674685,307.000000,304.000000,306.000000
176.540157,0.367046,0.519158,120.287373,-0.208534,2.674685,315.000000,313.000000,314.000000
176.553509,0.418045,0.514062,120.134373,0.020926,2.980616,322.000000,319.000000,323.000000
176.566948,0.392545,0.519158,120.134373,0.020926,2.878639,327.000000,325.000000,327.000000
176.580227,0.469044,0.498774,119.981373,0.173899,2.878639,329.000000,327.000000,329.000000
176.593537,0.418045,0.503870,120.134373,0.097413,2.572708,333.000000,333.000000,333.000000
176.606870,0.418045,0.514062,120.287373,0.020926,2.572708,338.000000,336.000000,337.000000
176.620206,0.341546,0.524253,120.389373,-0.208534,3.082593,343.000000,343.000000,342.000000
176.633577,0.392545,0.514062,120.185373,0.173899,2.674685,348.000000,347.000000,347.000000
176.647111,0.316046,0.529349,120.440373,-0.132047,2.674685,351.000000,350.000000,349.000000
176.660455,0.392545,0.493678,120.236373,0.097413,2.572708,353.000000,354.000000,352.000000
176.673709,0.367046,0.524253,120.440373,-0.132047,3.082593,355.000000,356.000000,356.000000
176.687158,0.469044,0.493678,120.287373,0.020926,2.674685,353.000000,354.000000,354.000000
176.700781,0.392545,0.514062,120.236373,-0.055561,2.776662,347.000000,349.000000,347.000000
176.714143,0.392545,0.524253,120.389373,-0.055561,2.776662,335.000000,338.000000,337.000000
176.727514,0.418045,0.508966,120.338373,-0.055561,3.082593,353.000000,337.000000,357.000000
176.741043,0.367046,0.514062,120.440373,-0.132047,2.878639,464.000000,462.000000,465.000000
176.754447,0.392545,0.503870,120.389373,0.173899,2.470731,431.000000,441.000000,436.000000
176.767766,0.418045,0.514062,120.338373,-0.132047,3.082593,368.000000,387.000000,377.000000
176.781067,0.418045,0.519158,120.491374,-0.132047,2.878639,296.000000,310.000000,303.000000
176.794446,0.443544,0.508966,120.236373,0.020926,2.878639,287.000000,285.000000,288.000000
176.807866,0.341546,0.524253,120.287373,-0.208534,2.980616,285.000000,286.000000,286.000000
176.821132,0.418045,0.524253,120.389373,-0.208534,2.776662,283.000000,283.000000,286.000000
176.834461,0.443544,0.508966,120.338373,0.097413,2.368754,267.000000,271.000000,271.000000
176.847842,0.443544,0.508966,120.032373,-0.132047,2.674685,256.000000,257.000000,260.000000
176.861177,0.418045,0.514062,120.134373,0.097413,2.368754,252.000000,251.000000,254.000000
176.874596,0.443544,0.514062,120.032373,0.173899,2.674685,254.000000,251.000000,255.000000
176.888043,0.341546,0.524253,120.083373,-0.132047,2.674685,257.000000,254.000000,259.000000
176.901318,0.392545,0.519158,120.083373,0.173899,2.470731,260.000000,257.000000,262.000000
176.914708,0.367046,0.514062,120.134373,-0.361507,3.082593,264.000000,262.000000,266.000000
176.928123,0.341546,0.524253,120.083373,-0.285021,2.776662,270.000000,267.000000,271.000000
176.941500,0.469044,0.503870,119.930373,0.097413,3.286547,277.000000,274.000000,278.000000
176.954850,0.418045,0.503870,120.032373,0.097413,2.266777,286.000000,281.000000,287.000000
176.968398,0.392545,0.503870,120.083373,0.173899,2.674685,299.000000,295.000000,300.000000
176.981826,0.443544,0.498774,119.981373,0.020926,2.470731,313.000000,308.000000,313.000000
176.995176,0.392545,0.514062,120.236373,-0.132047,2.776662,327.000000,322.000000,325.000000
177.008707,0.392545,0.514062,120.134373,-0.055561,2.674685,340.000000,336.000000,339.000000
177.022010,0.392545,0.508966,120.032373,0.097413,2.572708,356.000000,350.000000,354.000000
177.035410,0.392545,0.519158,120.083373,0.020926,2.470731,368.000000,364.000000,367.000000
177.048829,0.392545,0.519158,120.134373,-0.055561,2.674685,377.000000,376.000000,376.000000
177.062281,0.443544,0.498774,120.032373,-0.132047,2.776662,383.000000,380.000000,383.000000
177.075621,0.367046,0.524253,120.236373,-0.132047,2.980616,381.000000,381.000000,382.000000
177.088939,0.392545,0.514062,120.185373,-0.132047,2.470731,377.000000,378.000000,377.000000
177.102209,0.341546,0.524253,120.338373,-0.132047,2.674685,370.000000,372.000000,372.000000
177.115544,0.494544,0.503870,120.134373,-0.055561,2.572708,355.000000,361.000000,357.000000
177.128955,0.469044,0.508966,120.134373,0.020926,2.572708,344.000000,348.000000,346.000000
177.142263,0.367046,0.524253,120.338373,-0.285021,2.980616,351.000000,334.000000,339.000000
177.155579,0.341546,0.519158,120.338373,0.020926,2.878639,471.000000,453.000000,466.000000
177.169006,0.469044,0.503870,120.185373,0.173899,2.470731,444.000000,459.000000,451.000000
177.182372,0.392545,0.514062,120.338373,-0.132047,2.674685,343.000000,372.000000,353.000000
177.195747,0.469044,0.514062,120.236373,-0.055561,2.674685,298.000000,300.000000,297.000000
177.209190,0.469044,0.503870,120.236373,-0.132047,2.572708,296.000000,298.000000,297.000000
177.222383,0.392545,0.508966,120.338373,0.173899,2.368754,287.000000,290.000000,288.000000
177.235633,0.392545,0.519158,120.338373,0.173899,2.470731,274.000000,279.000000,274.000000
177.249289,0.418045,0.508966,120.440373,-0.132047,2.776662,265.000000,267.000000,264.000000
177.262734,0.418045,0.508966,120.236373,-0.132047,2.674685,261.000000,262.000000,260.000000
177.276113,0.418045,0.514062,120.389373,-0.055561,2.776662,263.000000,263.000000,262.000000
177.289421,0.418045,0.514062,120.440373,0.097413,2.368754,264.000000,264.000000,263.000000
177.302742,0.341546,0.524253,120.440373,-0.285021,2.470731,266.000000,266.000000,265.000000
177.316163,0.418045,0.519158,120.236373,-0.055561,2.368754,269.000000,269.000000,267.000000
177.329745,0.469044,0.503870,120.185373,0.173899,2.368754,272.000000,273.000000,271.000000
177.343149,0.341546,0.519158,120.440373,-0.132047,2.674685,277.000000,276.000000,275.000000
177.356447,0.418045,0.514062,120.287373,-0.132047,2.470731,281.000000,282.000000,280.000000
177.369864,0.392545,0.514062,120.338373,-0.132047,2.776662,286.000000,286.000000,284.000000
177.383195,0.443544,0.503870,120.389373,-0.132047,2.776662,290.000000,292.000000,288.000000
177.396598,0.341546,0.529349,120.491374,-0.208534,2.776662,294.000000,295.000000,292.000000
177.409988,0.392545,0.508966,120.287373,0.020926,2.674685,297.000000,298.000000,295.000000
177.423490,0.341546,0.524253,120.491374,-0.055561,2.878639,301.000000,302.000000,299.000000
177.436849,0.392545,0.519158,120.338373,0.173899,2.572708,305.000000,305.000000,303.000000
177.450284,0.341546,0.524253,120.491374,-0.285021,2.980616,311.000000,311.000000,309.000000
177.463579,0.494544,0.508966,120.185373,0.020926,2.572708,318.000000,316.000000,316.000000
177.477083,0.341546,0.529349,120.440373,-0.055561,2.878639,324.000000,323.000000,323.000000
177.490578,0.494544,0.493678,120.185373,0.173899,2.572708,331.000000,330.000000,330.000000
177.503985,0.418045,0.534445,120.338373,-0.361507,2.776662,337.000000,336.000000,335.000000
177.517315,0.367046,0.519158,120.287373,-0.208534,3.082593,343.000000,342.000000,341.000000
177.530813,0.341546,0.519158,120.491374,-0.285021,2.980616,345.000000,345.000000,344.000000
177.544283,0.392545,0.524253,120.491374,-0.285021,2.776662,344.000000,346.000000,344.000000
177.557739,0.418045,0.514062,120.440373,-0.132047,2.980616,345.000000,347.000000,344.000000
177.571201,0.341546,0.524253,120.389373,-0.208534,2.674685,344.000000,345.000000,342.000000
177.584577,0.418045,0.508966,120.389373,-0.285021,3.082593,343.000000,345.000000,342.000000
177.597874,0.443544,0.503870,120.236373,0.097413,3.490501,342.000000,343.000000,341.000000
177.611376,0.469044,0.498774,120.134373,0.020926,2.776662,340.000000,341.000000,339.000000
177.624808,0.367046,0.514062,120.338373,0.020926,2.980616,336.000000,338.000000,336.000000
177.638033,0.392545,0.514062,120.236373,-0.055561,3.082593,333.000000,334.000000,333.000000
177.651578,0.418045,0.519158,120.185373,-0.208534,2.674685,329.000000,330.000000,328.000000
177.665011,0.418045,0.514062,120.236373,-0.132047,2.266777,321.000000,325.000000,321.000000
177.678522,0.443544,0.498774,120.287373,0.173899,2.878639,317.000000,320.000000,317.000000
177.692032,0.392545,0.514062,120.236373,-0.285021,2.980616,309.000000,310.000000,309.000000
177.705372,0.443544,0.503870,120.083373,0.173899,2.674685,304.000000,305.000000,304.000000
177.718690,0.469044,0.503870,120.083373,-0.132047,2.674685,298.000000,299.000000,298.000000
177.732186,0.316046,0.529349,120.440373,-0.208534,2.674685,294.000000,295.000000,294.000000
177.745628,0.341546,0.534445,120.338373,-0.208534,2.878639,291.000000,291.000000,291.000000
177.758942,0.316046,0.524253,120.440373,-0.208534,3.082593,291.000000,290.000000,291.000000
177.772376,0.341546,0.524253,120.389373,-0.055561,2.368754,288.000000,288.000000,289.000000
177.785792,0.392545,0.519158,120.389373,-0.055561,2.878639,286.000000,286.000000,287.000000
177.799231,0.418045,0.514062,120.440373,-0.361507,3.184570,284.000000,283.000000,285.000000
177.812716,0.367046,0.519158,120.491374,-0.285021,2.776662,281.000000,281.000000,282.000000
177.826115,0.367046,0.519158,120.185373,-0.055561,2.776662,279.000000,278.000000,280.000000
177.839463,0.392545,0.514062,120.389373,-0.132047,2.572708,279.000000,277.000000,280.000000
177.852915,0.443544,0.508966,120.083373,0.173899,2.980616,279.000000,277.000000,280.000000
177.866239,0.392545,0.514062,120.236373,0.020926,2.674685,279.000000,277.000000,281.000000
177.879577,0.392545,0.514062,120.185373,0.020926,3.082593,279.000000,276.000000,281.000000
177.893056,0.392545,0.514062,120.134373,-0.055561,2.980616,279.000000,276.000000,281.000000
177.906445,0.341546,0.529349,120.236373,-0.208534,2.878639,283.000000,279.000000,284.000000
177.919746,0.367046,0.514062,120.134373,-0.208534,2.980616,289.000000,286.000000,290.000000
177.933282,0.367046,0.514062,120.185373,0.097413,2.470731,294.000000,292.000000,295.000000
177.946659,0.316046,0.529349,120.338373,-0.285021,2.980616,298.000000,296.000000,298.000000
177.960212,0.341546,0.534445,120.389373,-0.055561,2.266777,302.000000,300.000000,303.000000
177.973659,0.392545,0.514062,120.185373,-0.208534,3.082593,306.000000,304.000000,306.000000
177.986927,0.469044,0.503870,120.185373,-0.055561,2.674685,309.000000,306.000000,309.000000
178.000280,0.418045,0.508966,120.389373,-0.132047,2.776662,313.000000,312.000000,314.000000
178.013748,0.316046,0.519158,120.440373,-0.285021,2.878639,318.000000,315.000000,319.000000
178.027111,0.418045,0.514062,120.083373,-0.055561,2.980616,320.000000,318.000000,321.000000
178.040639,0.469044,0.493678,120.134373,0.097413,2.572708,324.000000,322.000000,324.000000
178.053988,0.418045,0.508966,120.287373,0.097413,2.470731,326.000000,325.000000,327.000000
178.067412,0.392545,0.519158,120.338373,-0.132047,3.082593,330.000000,328.000000,331.000000
178.080787,0.341546,0.529349,120.440373,-0.285021,2.980616,331.000000,331.000000,332.000000
178.094275,0.443544,0.508966,120.236373,-0.132047,3.082593,328.000000,329.000000,329.000000
178.107694,0.341546,0.529349,120.338373,-0.132047,2.776662,323.000000,325.000000,322.000000
178.121027,0.418045,0.514062,120.236373,0.020926,2.878639,317.000000,319.000000,317.000000
178.134570,0.443544,0.519158,120.287373,0.097413,2.674685,312.000000,314.000000,312.000000
178.147944,0.392545,0.514062,120.236373,-0.055561,2.674685,307.000000,308.000000,307.000000
178.161330,0.392545,0.514062,120.338373,-0.055561,3.082593,304.000000,305.000000,303.000000
178.174830,0.392545,0.514062,120.338373,-0.132047,3.082593,302.000000,304.000000,302.000000
178.188244,0.341546,0.524253,120.440373,0.020926,3.082593,300.000000,301.000000,299.000000
178.201593,0.418045,0.503870,120.236373,0.173899,2.572708,297.000000,298.000000,299.000000
