User: Eduardo	Fiber: 30/07/26-10h27-Eduardo	Date: quinta-feira, 30 de julho de 2026, 13:02


Time,Capstan speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[um],[um],[um]
155.024833,0.392545,0.498774,119.012371,0.097413,0.941075,272.000000,273.000000,268.000000
155.038208,0.418045,0.519158,119.063371,0.020926,0.533167,279.000000,280.000000,276.000000
155.051512,0.367046,0.524253,119.063371,-0.285021,1.043052,287.000000,287.000000,283.000000
155.064840,0.392545,0.514062,118.910371,-0.132047,0.941075,299.000000,298.000000,294.000000
155.078166,0.418045,0.514062,118.910371,-0.132047,1.450960,327.000000,320.000000,320.000000
155.091500,0.443544,0.514062,118.910371,0.020926,0.839098,391.000000,376.000000,380.000000
155.104874,0.418045,0.514062,118.859371,-0.132047,0.941075,463.000000,452.000000,450.000000
155.118182,0.418045,0.498774,118.859371,0.020926,0.839098,530.000000,523.000000,519.000000
155.131533,0.469044,0.503870,118.706371,0.097413,1.145029,555.000000,561.000000,547.000000
155.144872,0.418045,0.508966,118.859371,-0.132047,1.145029,530.000000,547.000000,528.000000
155.158184,0.392545,0.519158,118.706371,-0.055561,1.043052,494.000000,508.000000,491.000000
155.171520,0.418045,0.519158,118.706371,0.020926,1.043052,442.000000,465.000000,444.000000
155.184909,0.418045,0.514062,118.757371,-0.055561,0.941075,401.000000,429.000000,406.000000
155.198178,0.367046,0.524253,118.859371,-0.055561,0.635144,344.000000,360.000000,346.000000
155.211505,0.418045,0.508966,118.757371,-0.208534,1.450960,314.000000,325.000000,316.000000
155.224848,0.367046,0.514062,118.808371,-0.132047,1.043052,306.000000,309.000000,304.000000
155.238242,0.469044,0.498774,118.553371,0.097413,0.839098,304.000000,306.000000,302.000000
155.251516,0.469044,0.508966,118.502371,0.020926,1.043052,309.000000,309.000000,306.000000
155.264849,0.418045,0.514062,118.808371,-0.208534,1.043052,325.000000,323.000000,322.000000
155.278243,0.392545,0.514062,118.706371,-0.055561,0.941075,350.000000,356.000000,351.000000
155.291504,0.316046,0.529349,118.706371,-0.361507,0.839098,325.000000,330.000000,325.000000
155.304879,0.443544,0.498774,118.604371,0.097413,0.737121,327.000000,328.000000,325.000000
155.318167,0.469044,0.498774,118.451371,0.020926,0.941075,330.000000,328.000000,324.000000
155.331465,0.418045,0.514062,118.553371,-0.055561,1.043052,366.000000,366.000000,365.000000
155.344882,0.418045,0.514062,118.706371,-0.055561,0.839098,362.000000,360.000000,357.000000
155.358208,0.316046,0.529349,118.655371,-0.285021,1.043052,391.000000,384.000000,382.000000
155.371595,0.469044,0.503870,118.400371,0.020926,0.941075,442.000000,432.000000,434.000000
155.384819,0.443544,0.508966,118.553371,0.097413,0.839098,512.000000,500.000000,498.000000
155.398172,0.418045,0.498774,118.553371,0.097413,0.839098,583.000000,583.000000,574.000000
155.411550,0.367046,0.519158,118.655371,-0.132047,1.145029,520.000000,547.000000,523.000000
155.424832,0.341546,0.524253,118.655371,-0.285021,1.043052,478.000000,487.000000,475.000000
155.438203,0.469044,0.508966,118.553371,0.097413,0.839098,468.000000,475.000000,462.000000
155.451522,0.341546,0.534445,118.604371,-0.132047,0.941075,454.000000,465.000000,450.000000
155.464876,0.392545,0.503870,118.553371,0.097413,0.839098,441.000000,450.000000,435.000000
155.478243,0.418045,0.519158,118.298370,0.020926,0.941075,452.000000,453.000000,446.000000
155.491539,0.418045,0.519158,118.298370,-0.132047,0.839098,457.000000,463.000000,455.000000
155.504876,0.367046,0.514062,118.451371,-0.055561,0.635144,441.000000,451.000000,442.000000
155.518175,0.367046,0.524253,118.553371,-0.208534,1.145029,405.000000,419.000000,409.000000
155.531529,0.469044,0.498774,118.298370,0.097413,0.941075,363.000000,374.000000,365.000000
155.544844,0.494544,0.498774,118.349370,-0.208534,0.839098,342.000000,346.000000,343.000000
155.558195,0.418045,0.508966,118.553371,0.173899,0.839098,332.000000,333.000000,332.000000
155.571540,0.367046,0.529349,118.553371,-0.132047,1.145029,330.000000,329.000000,329.000000
155.584844,0.392545,0.508966,118.400371,-0.285021,1.348983,333.000000,331.000000,333.000000
155.598171,0.469044,0.519158,118.349370,-0.132047,1.043052,341.000000,338.000000,340.000000
155.611524,0.418045,0.519158,118.553371,-0.132047,1.043052,350.000000,348.000000,351.000000
155.624892,0.443544,0.503870,118.400371,0.020926,0.839098,353.000000,350.000000,353.000000
155.638206,0.392545,0.524253,118.553371,-0.208534,1.450960,362.000000,358.000000,359.000000
155.651524,0.443544,0.503870,118.400371,-0.132047,1.043052,407.000000,393.000000,400.000000
155.664859,0.392545,0.514062,118.553371,-0.132047,0.941075,483.000000,462.000000,471.000000
155.678197,0.418045,0.514062,118.604371,-0.132047,1.145029,617.000000,576.000000,590.000000
155.691576,0.443544,0.508966,118.349370,-0.055561,1.145029,726.000000,732.000000,722.000000
155.704881,0.443544,0.503870,118.451371,0.097413,0.737121,622.000000,659.000000,631.000000
155.718198,0.392545,0.514062,118.502371,-0.132047,1.145029,517.000000,549.000000,525.000000
155.731526,0.316046,0.529349,118.706371,-0.285021,1.654914,426.000000,463.000000,432.000000
155.744925,0.494544,0.503870,118.604371,0.097413,0.737121,362.000000,386.000000,367.000000
155.758177,0.341546,0.514062,118.706371,-0.132047,0.839098,337.000000,345.000000,334.000000
155.771615,0.418045,0.514062,118.604371,-0.285021,1.247006,332.000000,338.000000,327.000000
155.784876,0.469044,0.508966,118.400371,0.097413,0.635144,332.000000,337.000000,327.000000
155.798173,0.367046,0.524253,118.706371,-0.361507,1.145029,347.000000,346.000000,338.000000
155.811511,0.443544,0.503870,118.451371,-0.132047,1.043052,408.000000,395.000000,395.000000
155.824849,0.341546,0.514062,118.706371,-0.132047,1.043052,460.000000,448.000000,448.000000
155.838248,0.367046,0.524253,118.706371,-0.285021,0.941075,566.000000,535.000000,543.000000
155.851543,0.392545,0.514062,118.655371,-0.132047,1.348983,632.000000,632.000000,624.000000
155.864848,0.418045,0.514062,118.706371,-0.361507,0.941075,599.000000,616.000000,601.000000
155.878230,0.418045,0.514062,118.655371,-0.055561,0.839098,527.000000,552.000000,533.000000
155.891506,0.418045,0.514062,118.604371,-0.285021,1.450960,451.000000,472.000000,452.000000
155.904909,0.392545,0.514062,118.604371,-0.055561,1.043052,400.000000,403.000000,394.000000
155.918242,0.443544,0.519158,118.655371,-0.285021,1.145029,362.000000,374.000000,363.000000
155.931508,0.341546,0.529349,118.757371,-0.361507,1.348983,349.000000,353.000000,348.000000
155.944844,0.367046,0.529349,118.553371,-0.285021,1.145029,349.000000,350.000000,347.000000
155.958209,0.418045,0.508966,118.706371,-0.055561,1.247006,356.000000,356.000000,353.000000
155.971538,0.418045,0.529349,118.655371,-0.285021,1.247006,362.000000,364.000000,359.000000
155.984876,0.443544,0.514062,118.655371,0.097413,0.533167,372.000000,373.000000,367.000000
155.998215,0.418045,0.508966,118.604371,-0.055561,1.043052,401.000000,395.000000,394.000000
156.011502,0.418045,0.524253,118.655371,-0.055561,0.839098,428.000000,426.000000,424.000000
156.024877,0.443544,0.498774,118.808371,0.097413,0.839098,434.000000,433.000000,430.000000
156.038226,0.418045,0.514062,118.706371,-0.208534,1.348983,453.000000,451.000000,448.000000
156.051543,0.392545,0.514062,118.808371,-0.132047,0.737121,477.000000,472.000000,469.000000
156.064834,0.418045,0.514062,118.757371,-0.132047,0.839098,483.000000,488.000000,480.000000
156.078209,0.341546,0.529349,118.808371,-0.285021,1.043052,467.000000,478.000000,466.000000
156.091538,0.469044,0.503870,118.604371,0.097413,1.043052,444.000000,450.000000,441.000000
156.104948,0.443544,0.493678,118.757371,-0.055561,1.348983,429.000000,435.000000,427.000000
156.118210,0.494544,0.503870,118.706371,-0.055561,1.043052,426.000000,430.000000,424.000000
156.131532,0.443544,0.503870,118.757371,-0.055561,0.941075,393.000000,406.000000,395.000000
156.144880,0.392545,0.503870,118.808371,0.020926,0.737121,363.000000,372.000000,361.000000
156.158209,0.443544,0.514062,118.808371,0.097413,0.839098,356.000000,358.000000,353.000000
156.171576,0.392545,0.514062,118.859371,-0.132047,1.043052,365.000000,363.000000,364.000000
156.184876,0.341546,0.524253,118.961371,-0.285021,1.043052,388.000000,383.000000,388.000000
156.198201,0.469044,0.503870,118.757371,0.097413,0.737121,359.000000,364.000000,359.000000
156.211559,0.341546,0.519158,118.961371,-0.285021,1.348983,360.000000,356.000000,359.000000
156.224881,0.418045,0.503870,118.706371,0.097413,0.941075,382.000000,373.000000,379.000000
156.238210,0.367046,0.524253,119.012371,-0.132047,1.043052,420.000000,409.000000,417.000000
156.251600,0.418045,0.508966,118.910371,0.173899,0.737121,460.000000,449.000000,457.000000
156.264859,0.443544,0.503870,118.859371,-0.055561,1.145029,481.000000,478.000000,480.000000
156.278189,0.392545,0.519158,118.859371,-0.285021,1.960845,492.000000,488.000000,490.000000
156.291543,0.392545,0.514062,118.859371,-0.132047,1.450960,509.000000,507.000000,506.000000
156.304865,0.367046,0.514062,118.859371,-0.132047,0.839098,510.000000,514.000000,509.000000
156.318278,0.341546,0.524253,119.012371,-0.361507,0.839098,499.000000,507.000000,496.000000
156.331527,0.443544,0.498774,118.808371,-0.055561,0.635144,464.000000,476.000000,461.000000
156.344892,0.469044,0.503870,118.808371,0.097413,0.737121,443.000000,452.000000,441.000000
156.358208,0.392545,0.524253,118.961371,-0.208534,1.450960,434.000000,437.000000,429.000000
156.371559,0.341546,0.524253,119.063371,-0.208534,1.450960,430.000000,445.000000,433.000000
156.384854,0.443544,0.498774,118.961371,0.173899,0.737121,395.000000,408.000000,397.000000
156.398218,0.341546,0.514062,119.012371,-0.055561,1.043052,364.000000,373.000000,363.000000
156.411539,0.392545,0.508966,118.961371,-0.361507,1.348983,355.000000,359.000000,353.000000
156.424912,0.469044,0.514062,118.910371,-0.208534,1.145029,358.000000,358.000000,356.000000
156.438210,0.341546,0.529349,119.165372,-0.208534,1.145029,374.000000,369.000000,372.000000
156.451534,0.392545,0.524253,119.063371,-0.208534,1.247006,417.000000,402.000000,411.000000
156.464871,0.392545,0.514062,119.114372,-0.055561,1.145029,478.000000,464.000000,472.000000
156.478234,0.418045,0.514062,119.063371,-0.132047,0.839098,510.000000,503.000000,507.000000
156.491535,0.469044,0.519158,118.910371,-0.055561,1.043052,538.000000,529.000000,532.000000
156.504947,0.418045,0.514062,119.114372,-0.132047,1.348983,583.000000,569.000000,575.000000
156.518182,0.316046,0.524253,119.216372,-0.285021,1.450960,563.000000,573.000000,567.000000
156.531541,0.494544,0.498774,118.910371,0.020926,1.043052,490.000000,509.000000,496.000000
156.544876,0.443544,0.498774,118.808371,-0.055561,1.247006,430.000000,439.000000,430.000000
156.558206,0.367046,0.519158,119.063371,-0.285021,1.450960,383.000000,398.000000,386.000000
156.571579,0.392545,0.514062,119.012371,0.020926,1.043052,361.000000,368.000000,362.000000
156.584893,0.418045,0.514062,118.961371,-0.055561,0.941075,353.000000,355.000000,352.000000
156.598190,0.494544,0.503870,118.859371,0.097413,1.247006,349.000000,352.000000,348.000000
156.611540,0.418045,0.503870,119.063371,-0.055561,1.043052,346.000000,348.000000,345.000000
156.624908,0.443544,0.503870,118.859371,-0.055561,0.737121,344.000000,346.000000,343.000000
156.638243,0.341546,0.524253,119.165372,-0.285021,1.247006,343.000000,344.000000,342.000000
156.651523,0.367046,0.519158,119.216372,-0.132047,1.043052,341.000000,342.000000,340.000000
156.664909,0.392545,0.519158,119.114372,-0.132047,0.635144,342.000000,342.000000,342.000000
156.678330,0.367046,0.524253,119.267372,-0.208534,1.348983,347.000000,346.000000,346.000000
156.691541,0.469044,0.498774,119.012371,0.173899,0.839098,355.000000,354.000000,355.000000
156.704876,0.418045,0.514062,119.114372,-0.132047,1.145029,359.000000,358.000000,359.000000
156.718182,0.392545,0.514062,119.165372,-0.055561,1.043052,373.000000,368.000000,370.000000
156.731526,0.494544,0.493678,119.216372,0.097413,0.431190,398.000000,391.000000,395.000000
156.744911,0.316046,0.524253,119.369372,-0.208534,1.450960,425.000000,421.000000,422.000000
156.758221,0.418045,0.498774,119.369372,-0.055561,0.941075,420.000000,424.000000,419.000000
156.771561,0.443544,0.498774,119.267372,0.020926,0.839098,398.000000,404.000000,400.000000
156.784874,0.341546,0.529349,119.420372,-0.055561,1.145029,376.000000,382.000000,377.000000
156.798209,0.443544,0.503870,119.216372,-0.055561,0.737121,369.000000,372.000000,367.000000
156.811562,0.418045,0.514062,119.420372,-0.055561,1.450960,364.000000,367.000000,361.000000
156.824874,0.443544,0.524253,119.420372,-0.285021,1.145029,360.000000,364.000000,357.000000
156.838242,0.392545,0.503870,119.420372,0.097413,0.941075,362.000000,364.000000,357.000000
156.851528,0.418045,0.514062,119.624372,-0.132047,1.145029,368.000000,371.000000,364.000000
156.864879,0.418045,0.508966,119.573372,-0.208534,1.043052,371.000000,375.000000,367.000000
156.878209,0.418045,0.514062,119.522372,-0.055561,1.043052,367.000000,373.000000,363.000000
156.891576,0.443544,0.498774,119.522372,0.020926,0.941075,366.000000,371.000000,361.000000
156.904873,0.392545,0.514062,119.522372,-0.132047,1.043052,361.000000,367.000000,358.000000
156.918218,0.392545,0.508966,119.573372,-0.132047,1.247006,354.000000,360.000000,350.000000
156.931550,0.392545,0.524253,119.624372,-0.285021,1.247006,348.000000,354.000000,344.000000
156.944903,0.367046,0.524253,119.726372,0.020926,0.839098,348.000000,352.000000,343.000000
156.958206,0.469044,0.503870,119.573372,-0.132047,0.737121,347.000000,351.000000,343.000000
156.971571,0.418045,0.514062,119.726372,-0.055561,0.941075,349.000000,353.000000,345.000000
156.984884,0.418045,0.508966,119.777373,-0.132047,1.145029,354.000000,356.000000,350.000000
156.998216,0.469044,0.498774,119.624372,-0.055561,1.145029,358.000000,359.000000,356.000000
157.011559,0.367046,0.529349,119.879373,-0.285021,1.043052,371.000000,368.000000,368.000000
157.024871,0.418045,0.519158,119.777373,-0.055561,0.839098,417.000000,399.000000,408.000000
157.038243,0.392545,0.508966,119.828373,0.173899,0.737121,488.000000,473.000000,478.000000
157.051528,0.392545,0.519158,119.828373,0.097413,0.839098,556.000000,535.000000,545.000000
157.064882,0.418045,0.508966,119.879373,-0.055561,0.941075,603.000000,593.000000,598.000000
157.078210,0.443544,0.519158,119.981373,-0.361507,1.247006,584.000000,603.000000,590.000000
157.091543,0.469044,0.498774,120.032373,0.097413,0.941075,509.000000,531.000000,514.000000
157.104876,0.443544,0.514062,119.879373,0.097413,1.043052,416.000000,445.000000,422.000000
157.118194,0.494544,0.514062,119.930373,-0.055561,1.043052,350.000000,360.000000,349.000000
157.131529,0.341546,0.524253,120.236373,-0.132047,1.450960,348.000000,350.000000,345.000000
157.144873,0.418045,0.514062,120.032373,-0.132047,1.348983,344.000000,349.000000,342.000000
157.158209,0.494544,0.503870,120.032373,0.020926,0.737121,334.000000,340.000000,332.000000
157.171579,0.341546,0.529349,120.185373,-0.055561,1.247006,329.000000,331.000000,326.000000
157.184878,0.341546,0.519158,120.287373,-0.132047,0.839098,331.000000,332.000000,329.000000
157.198228,0.392545,0.508966,120.134373,-0.055561,1.450960,338.000000,338.000000,336.000000
157.211542,0.418045,0.514062,120.185373,0.020926,0.737121,346.000000,346.000000,344.000000
157.224877,0.392545,0.514062,119.981373,-0.132047,0.941075,354.000000,354.000000,352.000000
157.238255,0.443544,0.508966,120.032373,0.097413,0.737121,360.000000,359.000000,359.000000
157.251516,0.443544,0.503870,120.032373,0.173899,0.839098,365.000000,364.000000,363.000000
157.264893,0.341546,0.524253,120.185373,-0.208534,1.043052,370.000000,369.000000,368.000000
157.278197,0.341546,0.529349,120.134373,-0.055561,0.941075,378.000000,376.000000,377.000000
157.291566,0.469044,0.498774,120.032373,0.097413,0.635144,444.000000,405.000000,425.000000
157.304909,0.392545,0.514062,120.134373,0.020926,0.839098,551.000000,537.000000,543.000000
157.318245,0.418045,0.514062,120.236373,-0.285021,1.552937,538.000000,553.000000,538.000000
157.331542,0.341546,0.519158,120.287373,-0.285021,1.145029,522.000000,528.000000,520.000000
157.344877,0.316046,0.519158,120.236373,-0.132047,1.043052,480.000000,498.000000,481.000000
157.358263,0.367046,0.534445,120.389373,-0.208534,1.043052,409.000000,437.000000,414.000000
157.371560,0.418045,0.514062,120.236373,-0.285021,1.247006,363.000000,377.000000,358.000000
157.384875,0.443544,0.498774,120.134373,-0.055561,1.348983,353.000000,359.000000,351.000000
157.398184,0.418045,0.508966,120.287373,-0.132047,0.737121,340.000000,346.000000,337.000000
157.411535,0.392545,0.519158,120.287373,-0.055561,0.635144,337.000000,342.000000,335.000000
157.424912,0.418045,0.514062,120.338373,-0.132047,0.635144,328.000000,333.000000,325.000000
157.438231,0.443544,0.503870,120.185373,0.097413,0.635144,326.000000,329.000000,323.000000
157.451542,0.392545,0.514062,120.338373,-0.208534,1.450960,326.000000,329.000000,323.000000
157.464871,0.316046,0.519158,120.440373,-0.132047,0.737121,331.000000,332.000000,328.000000
157.478210,0.418045,0.493678,120.389373,0.097413,1.043052,338.000000,338.000000,335.000000
157.491577,0.443544,0.503870,120.440373,0.097413,0.839098,348.000000,348.000000,345.000000
