User: Eduardo	Fiber: 30/07/26-10h27-Eduardo	Date: quinta-feira, 30 de julho de 2026, 10:27


Time,Tractor Speed,Preform feed rate,Temperature,Tension,Preform Pressure,Diameter,Diameter X,Diameter Y
[min],[m/min],[mm/min],[ºC],[g],[mBar],[mm],[um],[um]
64471047.610035,0.000503,0.019755,23.897232,-0.132047,-0.180672,8.974000,12691.000000,39.000000
0.025686,0.000503,0.004468,23.897232,-0.132047,0.125259,8.974000,12691.000000,39.000000
0.040161,0.004328,-0.000628,23.744232,0.097413,-0.282649,8.974000,12691.000000,39.000000
0.056727,0.001778,0.004468,23.744232,0.097413,-0.180672,8.974000,12691.000000,39.000000
0.071722,0.001778,0.014659,23.948232,-0.132047,-0.078695,8.974000,12691.000000,39.000000
0.014892,-0.002047,0.009564,24.050233,-0.132047,0.023282,8.974000,12691.000000,39.000000
0.029042,0.001778,0.014659,23.948232,-0.132047,0.023282,8.974000,12691.000000,39.000000
0.044014,0.000503,0.009564,23.897232,-0.208534,0.227236,8.974000,12691.000000,39.000000
0.061592,-0.000772,0.014659,23.897232,-0.055561,0.023282,8.974000,12691.000000,40.000000
0.075033,0.004328,0.004468,23.744232,0.020926,-0.078695,8.974000,12691.000000,39.000000
0.089061,0.001778,0.004468,23.744232,0.020926,0.125259,8.974000,12691.000000,39.000000
0.124280,-0.000772,0.009564,23.846232,-0.055561,0.227236,8.974000,12691.000000,39.000000
0.137570,-0.002047,0.024851,23.948232,-0.208534,0.227236,8.974000,12691.000000,39.000000
0.152360,-0.003322,0.004468,24.050233,-0.132047,0.023282,8.974000,12691.000000,39.000000
0.166330,0.005602,-0.000628,23.795232,-0.132047,0.125259,8.974000,12691.000000,40.000000
0.179971,0.001778,0.014659,23.897232,0.020926,0.125259,8.974000,12691.000000,39.000000
0.194071,0.004328,-0.000628,23.744232,0.173899,0.125259,8.974000,12691.000000,39.000000
0.207955,-0.003322,0.024851,23.999233,-0.361507,0.023282,8.974000,12691.000000,39.000000
0.220856,-0.000772,0.014659,23.846232,-0.132047,0.329213,8.974000,12691.000000,39.000000
0.234280,0.003053,-0.010820,24.203233,0.097413,-0.180672,8.974000,12691.000000,39.000000
0.247373,0.000503,0.024851,24.968234,-0.208534,0.227236,8.974000,12691.000000,39.000000
0.261286,0.003053,-0.000628,25.682235,-0.055561,0.023282,8.974000,12691.000000,39.000000
0.276455,-0.000772,0.009564,26.549236,0.020926,-0.078695,8.974000,12691.000000,39.000000
0.290160,0.000503,0.014659,27.212237,-0.132047,-0.078695,8.974000,12691.000000,39.000000
0.303445,0.001778,0.009564,27.977238,0.020926,-0.180672,8.974000,12691.000000,39.000000
0.317937,0.001778,0.009564,28.589239,-0.055561,0.125259,8.974000,12691.000000,39.000000
0.331620,0.000503,0.009564,29.303240,-0.132047,0.227236,8.974000,12691.000000,39.000000
0.345888,0.004328,0.004468,30.068241,0.020926,-0.180672,8.974000,12691.000000,39.000000
0.359912,-0.002047,0.029947,30.884243,-0.055561,0.125259,8.974000,12691.000000,39.000000
0.373346,0.000503,0.009564,31.445243,-0.055561,0.023282,8.974000,12691.000000,39.000000
0.386623,-0.003322,0.024851,32.210245,-0.285021,0.839098,8.974000,12691.000000,39.000000
0.402306,0.001778,-0.005724,32.873245,0.020926,-0.282649,8.974000,12691.000000,39.000000
0.415109,0.001778,0.014659,33.434246,-0.132047,0.023282,8.974000,12691.000000,40.000000
0.428284,-0.004597,0.029947,34.199247,-0.285021,0.227236,8.974000,12691.000000,39.000000
0.441591,0.000503,0.019755,34.760248,-0.055561,0.227236,8.974000,12691.000000,40.000000
0.455063,-0.003322,0.029947,35.627250,-0.132047,0.023282,8.974000,12691.000000,40.000000
0.469821,-0.003322,0.024851,36.290250,-0.285021,0.023282,8.974000,12691.000000,39.000000
0.483048,0.001778,0.014659,36.902251,-0.132047,-0.180672,8.974000,12691.000000,40.000000
0.496597,0.000503,0.009564,37.616252,-0.055561,0.227236,8.974000,12691.000000,39.000000
0.510579,0.000503,0.009564,38.228253,-0.208534,0.227236,8.974000,12691.000000,40.000000
